title,thumbnail,artist,album,length
Apocalypse,https://i.ytimg.com/vi/sElE_BfQ67s/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nXs4vdJf60y1aJYr0CMuEaee0PKw,Cigarettes After Sex,,4:51
Fade Into You,https://lh3.googleusercontent.com/c8ZWpmUOSyQ-Tx-Le_8eNVVLSFUYqvUQRaVAuZSEL8xex1p3SA0r7rkwu6vdsRZuXRjX3Mk7PPzz5ic_=w120-h120-l90-rj,Mazzy Star,So Tonight That I Might See,4:56
Hideaway,https://i.ytimg.com/vi/4v3zyPEy-Po/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kzo73egpIMSAulOcy6twmwyMxRKg,제이콥 콜리어,,7:07
PPP,https://i.ytimg.com/vi/NFhJRTdmviA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ldG2QiAMqCqQMguySoty6E2gsF3g,비치 하우스,,6:09
To Believe,https://i.ytimg.com/vi/e7q4sgupsZc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lSw0vsJCWEBuseHuk-0d3JXgA-YA,더 시네마틱 오케스트라,,5:29
By Your Side,https://i.ytimg.com/vi/ErnKgdzfRSQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n7FyC6ATQmcOTEIkzdD_bUWLaEKQ,The 1975,,1:02
The World Spins,https://lh3.googleusercontent.com/A-tXTCG6mFiJ2qAwUqjaaBEuZeaRfQB6L86qzTIvvDnH9SkBQU9MlMjCviAG-7YTTEvLv8EyP57xJmJ_=w120-h120-s-l90-rj,Julee Cruise,Floating Into The Night,6:38
Into Dust,https://lh3.googleusercontent.com/c8ZWpmUOSyQ-Tx-Le_8eNVVLSFUYqvUQRaVAuZSEL8xex1p3SA0r7rkwu6vdsRZuXRjX3Mk7PPzz5ic_=w120-h120-l90-rj,Mazzy Star,So Tonight That I Might See,5:37
Twin Peaks Theme,https://i.ytimg.com/vi/3GYEfmX8OJc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mwHWwDmc2A4a2UjIJ9yz5mY64f4g,Angelo Badalamenti,,2:46
Wishes,https://i.ytimg.com/vi/OS6duOoxctw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kUeYz8iExHnZtzZaIA3y-g0JBd6A,비치 하우스,,4:48
Machine Gun,https://lh3.googleusercontent.com/XrJIrF91cAxDgx3D8aZvjRms3bEJEPiE75TDhQpENWJU-zk2pGTczl4HJxkMP9GlH-2rog57AL26ikflxg=w120-h120-l90-rj,슬로다이브,Souvlaki,4:26
Cico Buff,https://i.ytimg.com/vi/9ALHl1oBaVE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m1sw1IwOcIYIbnSQtDAmJF4F2oqw,Cocteau Twins,,3:48
Lord Can You Hear Me?,https://lh3.googleusercontent.com/0zhnNzKAKkqPzaUZ4BL5IRiNEYnIHVvqxyPBijyvogbWqD4lTDoPf0i-KPl-5BAG6d4HKbmUlml-IVIl=w120-h120-l90-rj,Spacemen 3,Late Night Tales: Mgmt,4:34
Blue Light,https://lh3.googleusercontent.com/c8ZWpmUOSyQ-Tx-Le_8eNVVLSFUYqvUQRaVAuZSEL8xex1p3SA0r7rkwu6vdsRZuXRjX3Mk7PPzz5ic_=w120-h120-l90-rj,Mazzy Star,So Tonight That I Might See,5:11
Love Songs on the Radio,https://i.ytimg.com/vi/yhGCk1Nlyfw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k2cxJkM_p8OBKMDgjp0p6utVItrQ,Mojave 3,,4:02
Saltwater,https://i.ytimg.com/vi/2lGoUGgJEnk/hqdefault.jpg?sqp=-oaymwEWCMACELQBIAQqCghQEJADGFogjgJIWg&rs=AMzJL3n595GUaktpGQBi_Ow9aHN_KPDq0A,비치 하우스,,2:56
Dagger,https://lh3.googleusercontent.com/XrJIrF91cAxDgx3D8aZvjRms3bEJEPiE75TDhQpENWJU-zk2pGTczl4HJxkMP9GlH-2rog57AL26ikflxg=w120-h120-l90-rj,슬로다이브,Souvlaki,3:38
For Phoebe Still a Baby,https://i.ytimg.com/vi/DWMiFYkc3VE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n_pEidQ3MHUVclpzQtq_tnCqlDLg,Cocteau Twins,,3:17
Son of a Lady,https://lh3.googleusercontent.com/bOEkHdD8jvQyRqP7kan_o0HPpO73njOtjCWLA7RUMyaMMaS0eeBn6XHDa6sI-l4LRkOfQvAwhtAThXE=w120-h120-l90-rj,호프 산도발,Son of a Lady,3:45
Before I Sleep,https://lh3.googleusercontent.com/OVr-E8aAs0GJWL7UBFP5F-R1o-owElQvX-kTlxZto1-nlQxjnVQRNaQhgQ1gGh76rEBVm0kYgHBdqahD=w120-h120-l90-rj,Mazzy Star,She Hangs Brightly,2:10
Blue Moon,https://lh3.googleusercontent.com/ny6kTvehMYTszf5bXlYCxkhUZYnrTgdZEsvHKRUXESgmuWBKHhT3xIKiQJxCev8M7AjYLXIG96A_ndGu=w120-h120-l90-rj,Damon & Naomi,With Ghost,2:46
Turtle Island,https://lh3.googleusercontent.com/VBrzpRzhg5nrp7VAK_wnF3cqkHFoZjHYqicBu9uVPVtaJcblsgPjhXYEFZonZqCDPAfONXCStjeAuqw=w120-h120-l90-rj,비치 하우스,Devotion,4:00
Altogether,https://lh3.googleusercontent.com/XrJIrF91cAxDgx3D8aZvjRms3bEJEPiE75TDhQpENWJU-zk2pGTczl4HJxkMP9GlH-2rog57AL26ikflxg=w120-h120-l90-rj,슬로다이브,Souvlaki,3:41
Ghost Dream,https://lh3.googleusercontent.com/cFRIqIn5KUMwgUg1EqQLvB9jPJi51SKxPs-yENSNFXJX5EZHXIAvn1xopXWaoF4SNUzSL2sTAqvVCtQ=w120-h120-l90-rj,Blouse,Blouse,3:21
Tears In The Typing Pool,https://lh3.googleusercontent.com/Vv306wkgKyZnl0atJMbCzWWjwcNsEg9p9dZmw0O9y1CH5Ox1-5SWqSMSPXX6d92A9ajoteo7Q6fV3SGE=w120-h120-l90-rj,브로드캐스트,Tender Buttons,2:12
Bisou Magique,https://lh3.googleusercontent.com/rka5X6AVHB-bbOSHHinKQr816EMUm0mQM72NwmKJvxhORo3DnDdMpWo5Bt_YdQKAMGFScEBBX_Kwra_Wyg=w120-h120-l90-rj,Melody's Echo Chamber,Melody's Echo Chamber,4:10
You Know It's True,https://i.ytimg.com/vi/5Vo5GG8GCwo/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3llOvDugCqV5KnfdjaFiSkjufBmEw,스피리추얼라이즈드,,3:41
Lovelier Girl,https://lh3.googleusercontent.com/p_u03v9PpvyB26UZwBVdfkBNs4p3Z43s4ed0ySoAfkP0DLF_4Dookhuo9WdE-iUNk5_nKFAnXa1C7ABtVw=w120-h120-l90-rj,비치 하우스,Beach House,3:02
Blue Skied An' Clear,https://lh3.googleusercontent.com/DC-XVfmA4t5W3Hx439Y8hHnrc-976cyvMOb_ttFFOMM9rNoOO7zfADFNaRFYX1t3GPjeHm42yRGm2Ms=w120-h120-s-l90-rj,슬로다이브,Pygmalion,6:51
Judah And The Maccabees,https://lh3.googleusercontent.com/ny6kTvehMYTszf5bXlYCxkhUZYnrTgdZEsvHKRUXESgmuWBKHhT3xIKiQJxCev8M7AjYLXIG96A_ndGu=w120-h120-l90-rj,Damon & Naomi,With Ghost,4:48
Home,https://lh3.googleusercontent.com/lgOUN_jLVqm_LTRKn35o6KTo1zlLfs6wrYlaw4Lf2UJgk5RKmBq0mJQS4w-oEOiJRpaEIKtHsmIl1C7y=w120-h120-l90-rj,DIIV,Oshin,2:30
You and Your Sister,https://i.ytimg.com/vi/_Dvd6o0qqoY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kz8_PKFctzt3pbqjQlFq2qb8qs0g,This Mortal Coil,,3:16
Echo's Answer,https://lh3.googleusercontent.com/pBa7Ku8UjTbIeDqLEiIKZAm3YLkgWp48BRXE1_RPbNCgQvD49reLAgqz5xpNITgqtlGZrX3VQW4H9XU=w120-h120-l90-rj,브로드캐스트,The Noise Made By People,3:11
Mount Hopeless,https://lh3.googleusercontent.com/rka5X6AVHB-bbOSHHinKQr816EMUm0mQM72NwmKJvxhORo3DnDdMpWo5Bt_YdQKAMGFScEBBX_Kwra_Wyg=w120-h120-l90-rj,Melody's Echo Chamber,Melody's Echo Chamber,4:33
Take Your Time,https://i.ytimg.com/vi/erIn3mQPCAM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nz0J6p2eFkTAehPsnqMYEsc5wrSw,스피리추얼라이즈드,,6:55
Boston's Daily Temperature,https://lh3.googleusercontent.com/2rHJ_YZDLgt8DSln5Sd2j_nq6qKHOVowyICCxYacAP-xbgEPhUyt9YvsNXpHmcjxgxjKKA2UjcufFCk=w120-h120-l90-rj,Damon & Naomi,More Sad Hits,2:36
