title,thumbnail,artist,album,length
The Girl From Ipanema (mono),https://i.ytimg.com/vi/EZBaI241EGg/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kT0-Co-Hv9DicSN7tAkP-3xZogMg,"주앙 지우베르투, Stan Getz 및 안토니우 카를루스 조빙",,5:12
Every Breath You Take,https://i.ytimg.com/vi/hH0Fpiojrck/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3keMJ1qYogISZ0eMk2hb56p40CCkQ,Karen Souza,,2:48
Essa Passou,https://lh3.googleusercontent.com/MGWLeksQ5yrQekjX3wy8VaVcE2Ml_izVSBtIWK4QrMvK5MvNAZC2czy0NViluBygt2nBzn4tnmw4NkAe=w120-h120-l90-rj,Carlos Lyra,...E No Entanto É Preciso Cantar,2:23
Carta ae Tom 74,https://i.ytimg.com/vi/kxpB-az8zuM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nJ-u0JGAaq0PSQ1BpUo5VcRSojQg,비니시우스 지 모라이스,,2:41
Petit matin,https://lh3.googleusercontent.com/NcjfVnifH893gA5XUpY8Mtu3nJGIF4UuQYU9MlxzEWop5W0YMXRzoFV96Mwyu4giISHIe_Yrbx11or3N=w120-h120-l90-rj,에밀리 클레어 발로우,Seule ce soir,3:42
Paradise City (Vibes Edition),https://i.ytimg.com/vi/VMWLgc8LpjA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mOO9Gf0wobH1pdw4_aZIwILaUfsw,Scubba,,3:24
O Barquinho,https://i.ytimg.com/vi/1v-NeQrmm3E/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3luAQT6g6Jky88m7xAYPgvIa3nA6g,Dany Crew Beat,,3:10
Fly Me to the Moon,https://lh3.googleusercontent.com/DVAriMWrnQwgSwbxlJz5jG9ypwlFz1IKD-P-7PNgkbg0k6-yqPGLWSRVJsYTvPduH2FD62Z04j9ACQzY=w120-h120-l90-rj,올리비아 왕,A Girl Meets Bossanova,3:06
Summer Samba (So Nice),https://i.ytimg.com/vi/gDKCeetf0NY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mmm91rAWBZ5KcqleeTt6S_f_rgfA,월터 완덜리,,3:07
Like a Virgin(피처링: Silvinha Santana),https://i.ytimg.com/vi/eNKW0nfevIo/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lKVW8QttJHOw2zVTCTg3isgRj1aA,Brazil XXI,,4:19
Raindrops Keep Fallin' on My Head (Live),https://lh3.googleusercontent.com/jdBx-7rvpXNXgjyfKFHEVSz_r_CR5iJxD2XlBmcr2wha7TydxUgFQKbi3c-EPEheCFwzQhgs2SFw31Y=w120-h120-l90-rj,에밀리 클레어 발로우,Live in Tokyo,4:37
Something(피처링: Sarah Menescal),https://i.ytimg.com/vi/Fjgy6TpqtrU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lJZrxsrETg9wMCnAC5vqAmaoJSeQ,Scubba,,2:39
"Out of My Dreams(피처링: Kenny Barron, 존 패티투치)",https://lh3.googleusercontent.com/D_qf4TDwgrZw41n28NkYog_55BbhQ505pnmu45NNbDjWqEsTCzOoUnLznnJUTC4Wa8Pk-O986jAiiV-4=w120-h120-l90-rj,Karrin Allyson,Many a New Day: Karrin Allyson Sings Rodgers & Hammerstein,3:35
Material Girl,https://i.ytimg.com/vi/nzXn0AYfi1Q/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ndQNLZxGZ2KnXPLgHTzdQ9qFKNfA,카산드라 벡,,3:09
Samba de Verão,https://lh3.googleusercontent.com/LHkBEc_Nrwih6i2glvmThabX7wnfGpjk8pHkz47q-fk0IbGQIZYHpIoV_CTnZKSRmEwI9SF0xlcQLfe-Lw=w120-h120-l90-rj,Ono Lisa,Bossa Nova Vibes,3:13
João Gilberto - Doralice,https://i.ytimg.com/vi/_mZtDLDiHnQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kvdga51BmKMJgsFqiXk3hic9_SNg,João Gilberto,,1:31
E Menina (Hey Girl),https://i.ytimg.com/vi/-6tno7lf2Lc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kkj9WKosPFZpSkRejviqT5XwoBGw,세르지우 멘지스,,3:32
Soares Samba,https://lh3.googleusercontent.com/Jq-EKoH4zb_vd6Eg5HzoIBFR8MwoMPPTxR9pdrgToEr7vG3P9g-F--1CFBHCjTcKmL_U_Vlv5I3RW9Kn=w120-h120-l90-rj,John Pizzarelli,Bossa Nova,4:56
One Note Samba,https://lh3.googleusercontent.com/2fn-S8MPse12ZjTXa8S2W7hrZsaEYNkxuotPMGKoKZ9dk8yO6seyjY8nXSfsZYysGgnYr5i60mL-JaC5=w120-h120-l90-rj,올리비아 왕,A Girl Meets Bossanova 2,3:28
Da Ya Think I'm Sexy?,https://i.ytimg.com/vi/V3YKZKbMD64/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l3ilZLnO8SjHtE-s0wsW2XRIebdA,카산드라 벡,,4:03
C'est si bon,https://lh3.googleusercontent.com/qqWtn00u5faa8ySNTnaO2-bW463rG3ZopSWIKBO9w-gwRH2YP5diJGkK3drEAK7uDUW2tRbslhKXXmqF=w120-h120-l90-rj,Dean Martin,The Reprise Years,2:53
Um Sonho De Verão (Moonlight Serenade),https://lh3.googleusercontent.com/ac7kwgDiYGHmdJimBgKscFllk8n8C_MyqPCbuujy7TLBKdq6g-0XdCOtse8cHJ6idxYuwz6IdnltDq5z=w120-h120-l90-rj,나라 레앙,Meus Sonhos Dourados,5:25
Wave (Solo Version),https://lh3.googleusercontent.com/bFwhRbAtIkMQFXoy_EpOP6cfQCL1xbqF40ScL3cq_RcseOwHijk-7aL_crn2PYyoLJc-UVOKFEmfgp9dTg=w120-h120-l90-rj,Rosa Passos,Amorosa,3:14
Ticket to Ride (feat. Scubba),https://i.ytimg.com/vi/dJ3h1L4YX0I/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kIq1jLNhjdVlNMp_Lh0cGL8isH9g,Sarah Menescal,,4:17
Moments Like This,https://lh3.googleusercontent.com/yy8RoT3Y56FcOGej4_2O9dua2V8y8nZv3TUvHT8TJkCkyg1b4p2I948u_WIrDlz-26b63LY6SwycWE2T=w120-h120-s-l90-rj,Charlie Byrd,Moments Like This,3:45
Into the Groove(피처링: Natascha),https://i.ytimg.com/vi/HxuEwIwBiVQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nqUK77dq23Vn3uOYpxe76612e0Hg,Banda Do Sul,,3:59
Meu Pranto Rolou,https://lh3.googleusercontent.com/w_yPJjkEX2Sjq60-3Uxbs5ZIX9MGBypIbk4ZvV_3gueB1_sNBG1dWaDt5AYQlsuNaBD8akXntvAFJoc=w120-h120-l90-rj,Toquinho 및 비니시우스 지 모라이스,Vinicius & Toquinho,3:03
Me Abraça (Embraceable You),https://lh3.googleusercontent.com/ac7kwgDiYGHmdJimBgKscFllk8n8C_MyqPCbuujy7TLBKdq6g-0XdCOtse8cHJ6idxYuwz6IdnltDq5z=w120-h120-l90-rj,나라 레앙,Meus Sonhos Dourados,4:00
Ciúme (Jealousy),https://lh3.googleusercontent.com/_Y26biJfpGyUEmFCZvplg30Zs59ns_rE0VfhJ3e5wDwarkk1wUA24y3ObUlAcK7ujnfQC1gClx7OYcs=w120-h120-l90-rj,Carlos Lyra,Vem do Amor (The Collection),3:04
Francesca,https://lh3.googleusercontent.com/Jq-EKoH4zb_vd6Eg5HzoIBFR8MwoMPPTxR9pdrgToEr7vG3P9g-F--1CFBHCjTcKmL_U_Vlv5I3RW9Kn=w120-h120-l90-rj,John Pizzarelli,Bossa Nova,4:32
Brazilian Tapestry,https://lh3.googleusercontent.com/PlgFXbQfOzPdmeRtDWz1Fyjtr-72q9SvwL9aFJEKHGJbNhTzlN3_Cjp4fhw5nOxJ_4M8VZ0rGlIHd16L=w120-h120-l90-rj,Astrud Gilberto,Astrud Gilberto W/ Stanley Turrentine,5:04
Besame Mucho,https://lh3.googleusercontent.com/bFwhRbAtIkMQFXoy_EpOP6cfQCL1xbqF40ScL3cq_RcseOwHijk-7aL_crn2PYyoLJc-UVOKFEmfgp9dTg=w120-h120-l90-rj,Rosa Passos,Amorosa,6:52
Aconteceu,https://lh3.googleusercontent.com/HrzExR8C2qkQg0A-0UQBawFDGA3SR6VZyW5CmIVHeHPWVvLEpi4aTWJW6bQlksGHIm8gnW4D7OIn7d0=w120-h120-l90-rj,찰리 라우스,Brazilian Bossa Nova,2:58
