product_id,category
10018853-A02,2
10020856-A01,2
10020856-A02,2
10020849-A01,2
10019604-A02,2
10019604-A03,2
10019604-A01,2
10018841-A04,2
10018841-A03,2
10008476-A19,2
10018940-A01,2
10018940-A07,2
10017759-A04,2
10017759-A03,2
10019896-A03,2
10019896-A02,2
10019896-A01,2
10018568-A02,2
10018568-A01,2
10019895-A02,2
10019895-A01,2
10007887-A03,2
10020394-A01,2
10020394-A02,2
10018901-A01,2
10018896-A02,2
10018896-A01,2
10018969-A01,2
10018968-A01,2
10017263-A09,2
10018985-A01,2
10018468-A01,2
10018446-A03,2
10018973-A01,2
10018972-A01,2
10018975-A01,2
10018446-A01,2
10017263-A01,2
10017262-A01,2
10017261-A01,2
10017015-A02,2
10008476-A02,2
10008476-A01,2
10017015-A05,2
10007887-A04,2
10007887-A01,2
10008505-A01,2
10007784-A01,2
10008276-A01,2
10018334-A02,2
10018334-A01,2
10018446-A02,2
10000998-A22,2
10001016-A22,2
10018448-A01,2
10018457-A02,2
10018451-A01,2
10017895-A03,2
