product_id,group
10008476-A19,7
10020394-A01,7
10020394-A02,7
10018901-A01,7
10018896-A02,7
10018896-A01,7
10018969-A01,7
10018968-A01,7
10017263-A09,7
10018985-A01,7
10018468-A01,7
10018446-A03,7
10018973-A01,7
10018972-A01,7
10018975-A01,7
10018446-A01,7
10017263-A01,7
10017262-A01,7
10017261-A01,7
10017015-A02,7
10008476-A02,7
10008476-A01,7
10017015-A05,7
10008505-A01,7
10007784-A01,7
10008276-A01,7
10018334-A02,7
10018334-A01,7
10018446-A02,7
10000998-A22,7
10001016-A22,7
10018448-A01,7
10018457-A02,7
10018451-A01,7
