title,thumbnail,artist,album,length
Maryam,https://lh3.googleusercontent.com/09RRE9i0rh5hvGxCiQngQwLew2GMth_kmOXZFLFSp3P5qzYlib0HfPLlpME-lzXEqOZMw8aDIRfZuL_Y=w120-h120-l90-rj,Ahmad Jamal,Count 'Em 88,3:36
Jordu,https://lh3.googleusercontent.com/aYu7ik-4e3tVR7vZS1n0Qs9eDWwoPg44eaPWsIIAe8aXFZV6v-2pNX4kTtnH_-4s28X7ho1Gr49M93Ap7A=w120-h120-l90-rj,Bud Powell,The French Way,4:18
J.M.'s Dream Doll,https://i.ytimg.com/vi/Bx22ySHtmXE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kiU45l1eZCidnH_iJCa6E6qawaZw,John Coltrane,,8:38
In A Sentimental Mood,https://i.ytimg.com/vi/awAb9gutGSE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kUe7xe4LEgw15bPxARY880OW9Tqw,아트 테이텀,,3:22
Blues For Nica,https://i.ytimg.com/vi/6O8PQZclxvE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l8EUpesllx3p1G9sWZOHGe2uPxIg,Kenny Drew,,5:24
Hungarian Dance,https://lh3.googleusercontent.com/7thmQFNQfPqMqBU4HISAetIt9qtx3jZU8KTYxmdCHcyMOrFgfU6bGDpp0z17KqYwIYlQ5ApdaV9iB__bBQ=w120-h120-l90-rj,오스카 피터슨,Somebody Loves Me Vol 1,3:02
Taking A Chance On Love,https://lh3.googleusercontent.com/eOjfE_zBjatqtNTxju0mSN3VCTEQ_BltcQ3NH0WhSmcoEcF3yFLchcafAwteaIMCJzq2AuBQjS5G5pWS=w120-h120-l90-rj,주트 심스,Jazzland 2,6:02
Painted Rhythm,https://lh3.googleusercontent.com/JC_zPuqekhvzeaCI7eD9zkrxfsFb3cS1DRLjOcloPuzuEDnqapeyjl9GI2k0miwuTX_zaS8o83jAbBcIyg=w120-h120-l90-rj,Stan Kenton,Stan Kenton's Greatest Hits,2:55
Perdido,https://lh3.googleusercontent.com/_zUbdTRSiUWCIvcnrLPtvhyQdl4WtifImeAe_CAbaq6RpiyZnGZtOdDhNa_FY533ph8WvGUbu3xjAMw=w120-h120-l90-rj,New York Jazz Lounge,Best of Lounge Jazz - Bossa & Samba,4:55
A Walk Through Town,https://lh3.googleusercontent.com/eCacgXVF5Cz1YXRs68iD_Wi3nsHDzIfPdFmp7NnmbsJjBlSyPNX7fFz7o_tEFWBXzWcLjflIOoP8ovb2=w120-h120-l90-rj,Gregory Gaynair Trio,Jazz Dreams,6:41
