title,thumbnail,artist,album,length
Outa-Space,https://lh3.googleusercontent.com/faiZplkAl0OUsqgP-0jzZ__VLggm3skyAXfIO8g43lfTY_ZaBIkTdSvFns5aUQpvulK5j2iNHBTIcXmK=w120-h120-l90-rj,빌리 프레스턴,I Wrote A Simple Song,4:11
Amen Brother,https://lh3.googleusercontent.com/W99QwuKpKgrFBIBVhCr4O9jGqhpcMHO7HDgMtxuQZEn5Cnm8sZtUB2yLHQstsysnF7NCLpELerlEhZI=w120-h120-l90-rj,The Winstons,Color Him Father,2:36
Go For Yourself,https://lh3.googleusercontent.com/cSadfyHsAlHzFhlnagjUxpw5x-At09epWzp2rGnwQRvkQBLhzrENOl2q7DUbQcZ40Xp6k1gESshHFYtN=w120-h120-l90-rj,Soul Toronados,The Complete Recordings,2:56
Grease Monkey,https://lh3.googleusercontent.com/trTHrAhFK9ou17ORRjQyDd_yBJd0xC9ZOTyTlc2267kEF-jXkAtDAk_mAz-ZU-c8uZJ4fHVDFz6q8wYPrQ=w120-h120-l90-rj,케니 버렐,Crash!,3:19
It's Gonna Be Good,https://lh3.googleusercontent.com/Zw3qy08AtYu6sbGAR4zD2NPe43AcAyPACktopSHMIXIUvSf5T7gVNAgZP4j-hHNftnOrOu4AOkEOzqqMGQ=w120-h120-l90-rj,Johnny Jones and The King Casuals,Dr. Boogie Presents Wasa Wasa (Fabulous Rhythm'n' Blues Shakers on the Dancefloor 1952 - 1968),1:48
Brother Soul,https://lh3.googleusercontent.com/ykB7kRN90bZX5QoNsCAXDKyJ-O2wXfg0vexoPj5KnJnmjvk86I07Naqz8OEDk4kR4V89m3rMbtkpNLyW=w120-h120-l90-rj,Lou Donaldson,Say It Loud,8:17
Hector,https://lh3.googleusercontent.com/3aTUKOugtkIpJhYWRZVfVLmZRfYjaGOsW92uj-b923rG2sq1EVFAPrb4gBi16L6FdEtBnM7rHiqzuCY=w120-h120-l90-rj,The Village Callers,Live,2:45
Beat Me 'Til I'm Blue,https://i.ytimg.com/vi/ogPCzhLe1Bw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kwP9lMY3tzo9jCQ4IrpWie8qe2bw,알란 혹쇼,,2:38
Funky Broadway,https://lh3.googleusercontent.com/BCZhFPufdvujZCnrVnDLg3h6WfIMRIbikkcpGG4QHGN2NC62yozdM5r_pTXqV24xbH3zdKcaLS5L8Zj8AQ=w120-h120-l90-rj,The Mohawks,The Champ,2:43
Chain Of Fools,https://lh3.googleusercontent.com/d9-ByTVISIFbH0H8l-ArmludWJ8rKM3stCVa0EpaKy666C4jITeawYMcLPC8mRKTNXWktgTIK1Mno9RG=w120-h120-l90-rj,Jimmy Smith,Stay Loose,5:02
"The Flick - Parts 1,2,3, & 4 (Alternate Version)",https://lh3.googleusercontent.com/ceynCV_jU1UZSJlfnxY2jytEC6yr89ZS0DCWgoOMk2SMzM0coi5W1IgeCOcZp2YysHsbMCgC0ZOtV8go=w120-h120-l90-rj,얼 반 다이크,The Motown Sound: The Complete Albums & More,12:00
Give Me Mercy,https://lh3.googleusercontent.com/kNxYmO-ElvBH5USdWglfRuUdh8LZbohl3hBE-iyblVJGaUWe5_b0h2KJA-BCZ70WFx_o5MQTmd_k1QF-LA=w120-h120-l90-rj,Ruff Francis,"Creative Musicians, Vol. 2",2:29
J.A.J,https://lh3.googleusercontent.com/Ibdu9RLuolrNDrWX3tW54kFd87Wp7ZicD98jCTLOgJ21ST1Qb6vUgrqoKBv345WLLTEAU8sPA0RDy6M=w120-h120-l90-rj,데이브 루이스,MMM-MMM-MMM.,3:01
El Bandido,https://lh3.googleusercontent.com/okz_-Lv_ILpq0DclbKfI5oxW4FZNYY0i8uN_CwZUjONCGRBW1efstC5Tf1tyDDFyo-yu2yZhsa2YuSmj=w120-h120-l90-rj,조지 페임,Sound Venture,3:11
The Sin-In(피처링: 휴스턴 퍼슨),https://lh3.googleusercontent.com/CKZ_QV8--uuQWWsTsfpuRuPfbJRvzZzvE7c5RPB3xGvE45FHFNpQ-vhTJZQCED7hkr6CydDX5fu4eO6U=w120-h120-l90-rj,조니 해먼드 스미스,The Soulful Blues,4:23
Funky Broadway,https://lh3.googleusercontent.com/fcFSxe6eHruEcT5zgZ4bHRFJyD-i2kz1jQcX830EI3RbsMTfEcJ-pdVmMpBfS2ORn9owshpMBaItncA=w120-h120-l90-rj,Jimmy Smith,Plays The Hits (Great Songs/Great Performances),6:41
Soul Stomp (Single Version),https://lh3.googleusercontent.com/sLJXkSB2hN66ibkoDvISC9q3ohvYbwCByP_v4EVntHPLL1utGRZu1PNNrDi5L_I4eNb01Ia9RZxh-xo=w120-h120-s-l90-rj,Earl Van Dyke,20th Century Masters - The Millennium Collection: The Best Of The Funk Brothers,2:32
You Can't Sit Down - Part One,https://lh3.googleusercontent.com/YRu79KuEBM5uTlQTCUkLGlmAL_ubzQzMEEsoIXr15UqTz1SI88UssPy0zvWONFbZt9HTgUGDPlp68UA=w120-h120-l90-rj,필 업처치,You Can't Sit Down,2:14
Hole in the Wall,https://lh3.googleusercontent.com/Ix9rGQRSwPIgQXFDKuEU3ue2TDmQUXAUagIEmpx78W1zsHVUVpbhoB4iwyjc8eQgBd1ggjX5MWjUYC8d=w120-h120-l90-rj,The Packers,Late Late Party (1965-67),1:59
Bullseye,https://lh3.googleusercontent.com/oD-7DcmRerhrjC1-D4ZeajDEONUYwYrNcGOTUxYMTj4sXMz8yhR4fx8zd0Glhf83VCwrVUJe4fW3QSkC=w120-h120-l90-rj,The Martinis,Late Late Party (1965-67),1:52
Whiplash,https://lh3.googleusercontent.com/4-J10GyaY7ceuz5ZCkoY6gaOHJujSZLBoRz7M2N0wDFiXLH19ikaG5uodO_mryFD9nemNn4uMZUuJw0=w120-h120-l90-rj,Leon & The Burners,Creative Musicians,2:24
Greeze,https://lh3.googleusercontent.com/emQ-EqA6teqnUgLzc5IXwQ92_wF1p8_NmdrULPbOd6pDnLyKWAL6ttpVIKwEC05QLZvYs3vAxocavQY=w120-h120-l90-rj,Charles Kynard,Charles Kynard,4:43
The Whoo Pee,https://lh3.googleusercontent.com/2B21Qi-282IaOvgM97_-k0PGa9ZgBWH-ZfjPggEUn8WE_xOZyl0Sz749eOYEi_b3x31NsEo-7iyWrT6h=w120-h120-l90-rj,Joe Simon,Mr Shout,2:11
Be My Lady,https://lh3.googleusercontent.com/lw9EzNLO1Fp_dp9E3hYyFw_9fR1rme7P3cESDvR6sUssxVIAjyNBoB_SKVyR7HYmpdf2CZwHScgubpMn=w120-h120-l90-rj,Booker T & The MG's,The Best Of Booker T & The MG's,2:35
Crazy Legs,https://lh3.googleusercontent.com/cSadfyHsAlHzFhlnagjUxpw5x-At09epWzp2rGnwQRvkQBLhzrENOl2q7DUbQcZ40Xp6k1gESshHFYtN=w120-h120-l90-rj,Soul Toronados,The Complete Recordings,2:54
Sho Nuff M.F.,https://lh3.googleusercontent.com/77Ru5U-ENXpcT2ShvNtsQkxnWoPp7s0DQd9Git0qyIT8_yObHhncoxpZw4okCxhctjTWUtGJTe9-pGuS=w120-h120-l90-rj,The Dukays,The Very Best Of,2:31
The Toussaint Shuffle (Inst.),https://lh3.googleusercontent.com/5IVOaag0qhiggnI3s11_kR98_xzASN3vCCrX7WYxK-9d5LwElyNLUy_hJow-9-shnbncLdkCJrcWpD6s=w120-h120-l90-rj,Toussaint McCall,Nothing Takes The Place Of You,2:32
Steam Roller,https://lh3.googleusercontent.com/8SV245dvseSbewKeKWvNgwTPrX1gm8C5VuN5iUGPSSnAUaEmlbRYeHFVy6KsYXTRiPpFurJM8_qnmJw=w120-h120-l90-rj,Mikey Baker,The '60s Hipster Lounge,2:15
Bogatini,https://lh3.googleusercontent.com/4s1pN9SMmqJBDkYaxEbs7oOuoy2KMGa2RmsbsUlHYuoOsIWXn9bKNLC8vjNJr7WT3JgQxaoX_2dihh-R=w120-h120-l90-rj,The Four Instants,The Champs - Tequila & Other Rockin' Bands,2:16
Hot Tamales - Part 2,https://lh3.googleusercontent.com/8VOAdKeLR2Oxqf7Gr2RBUHJeTvMVC5K9IhRZm6v4jMiMGmQSMHWzFyrwFUhTmDvSnkYrqAaG2EPynYM-lg=w120-h120-l90-rj,Prime Mates,Allen Toussaint - Everything I Do Gonh Be Funky,2:14
U.F.O.,https://lh3.googleusercontent.com/nikKkPnKEfsp0mH0Kiq4eiUPXh22EaR0IXQ02twT37pL8XOvFy6ECnupuSnqXKLN8Qf4Uz0zNwQt6ppN=w120-h120-l90-rj,Jimmy Caravan,Hey Jude (Digitally Remastered),1:55
Plain Brown Bag,https://lh3.googleusercontent.com/2qHScrWBNsP6X9vs27Z7MALGaW834SIqdjZzlnIw-GH0kITdp2RBVKuHDTavHPMai4MYIjw7NCp8wjg=w120-h120-l90-rj,Jimmy McGriff,Tribute To Basie / Funkiest Little Band In the Land,3:37
Monkey,https://lh3.googleusercontent.com/lsi4Be7-uryyx-rKKB0f0EHn_7jYPjsvl7GPFKCd0Ze7nStv2tb9xj87WNpluaVm-u3sqoLXHqO7wQc=w120-h120-l90-rj,J.C. Davis,Rock 'N' Roll Jungle,2:16
The Jupe,https://lh3.googleusercontent.com/ZdYqmYaKWVM8BzHsk4rJscGwalEsykKwPdjlTL-uTkmVc2htN0L7rwRihZU05v3ee22I0j4MIBxxTrzc=w120-h120-l90-rj,Dave Davani,Fused !,2:08
That's Me Boy,https://lh3.googleusercontent.com/jeQuNawhIf95IW3Hm_ZWJyzaRkqajPOJ7Q5t3ZI3-ydb9cU5EfH0nSYonCRzvHdjfXUfpcqDiGt3r9bSig=w120-h120-l90-rj,Memphis Black,The In-Kraut Vol. 3 Hip Shaking Grooves Made in Germany 1967-1974,2:58
Sweet Bacon,https://lh3.googleusercontent.com/0MbToANOvTaIUT5XkUE1ooyEsHfp9x3ChWRlu5FdyYDJdu2TE7zleHzy83drAEX3Iqt_gqnwdWMg7nlP1Q=w120-h120-l90-rj,Jullen Covey,Tasty Tracks,2:50
Holiday,https://lh3.googleusercontent.com/tQDytgOrBcCgVAqrSAIkT_v2yyPKlP14FdghsN-RLLbbjsjixyfz9h6ojqo5BRe-C2l2pQhUAmsSCgNq=w120-h120-l90-rj,Jimmy Caravan,Look Into The Flower,2:51
Shimmy (Inst.),https://lh3.googleusercontent.com/5IVOaag0qhiggnI3s11_kR98_xzASN3vCCrX7WYxK-9d5LwElyNLUy_hJow-9-shnbncLdkCJrcWpD6s=w120-h120-l90-rj,Toussaint McCall,Nothing Takes The Place Of You,2:19
Strange Happenings,https://i.ytimg.com/vi/qd6r9SR7mcU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mq__RqBRCROVkEJPOauD35opxs0Q,Rex Garvin 및 The Mighty Cravers,,2:29
Ko-Ko,https://lh3.googleusercontent.com/RYRhbKA4-ZHDVUJjtwtasJbV3Oo_AFHu5XYkOYbu0hSEmmRC5y_bQXSD1qTztjcTaim9qx_fHpGv4y4=w120-h120-l90-rj,Bill Doggett,Soultown 2,3:01
